fluid_density[lb/ft^3],fluid_viscosity[centipoise],velocity[ft/s],dP[psi]
49.92,0.8899,1,0.018922858
49.92,0.8899,3,0.167955483
49.92,0.8899,5,0.471959787
49.92,0.8899,7,0.9213267
49.92,0.8899,9,1.533233393
49.92,0.8899,12,2.675158902
49.92,6.346577778,1,0.01969321
49.92,6.346577778,3,0.171511496
49.92,6.346577778,5,0.475763902
49.92,6.346577778,7,0.932801251
49.92,6.346577778,9,1.536653244
49.92,6.346577778,12,2.69785967
49.92,11.80325556,1,0.020374072
49.92,11.80325556,3,0.174685377
49.92,11.80325556,5,0.481731215
49.92,11.80325556,7,0.937582733
49.92,11.80325556,9,1.536601465
49.92,11.80325556,12,2.725666355
49.92,17.25993333,1,0.02100303
49.92,17.25993333,3,0.176753735
49.92,17.25993333,5,0.483458472
49.92,17.25993333,7,0.945643815
49.92,17.25993333,9,1.558959363
49.92,17.25993333,12,2.737117976
49.92,22.71661111,1,0.021612717
49.92,22.71661111,3,0.178506084
49.92,22.71661111,5,0.486823426
49.92,22.71661111,7,0.951033514
49.92,22.71661111,9,1.561394551
49.92,22.71661111,12,2.748361467
49.92,28.17328889,1,0.022193692
49.92,28.17328889,3,0.180692706
49.92,28.17328889,5,0.490445895
49.92,28.17328889,7,0.951122611
49.92,28.17328889,9,1.5739502
49.92,28.17328889,12,2.770866143
49.92,33.62996667,1,0.022714665
49.92,33.62996667,3,0.182727647
49.92,33.62996667,5,0.493493826
49.92,33.62996667,7,0.956225947
49.92,33.62996667,9,1.570700334
49.92,33.62996667,12,2.784405005
49.92,39.08664444,1,0.023237014
49.92,39.08664444,3,0.184675914
49.92,39.08664444,5,0.496825566
49.92,39.08664444,7,0.960955404
49.92,39.08664444,9,1.575483107
49.92,39.08664444,12,2.782655992
49.92,44.54332222,1,0.02365983
49.92,44.54332222,3,0.186557651
49.92,44.54332222,5,0.50034326
49.92,44.54332222,7,0.964970361
49.92,44.54332222,9,1.582607374
49.92,44.54332222,12,2.798051775
49.92,50,1,0.02408597
49.92,50,3,0.188410468
49.92,50,5,0.503800574
49.92,50,7,0.969656364
49.92,50,9,1.588490695
49.92,50,12,2.799032812
56.16,0.8899,1,0.021529177
56.16,0.8899,3,0.191588222
56.16,0.8899,5,0.529413081
56.16,0.8899,7,1.043291084
56.16,0.8899,9,1.725423391
56.16,0.8899,12,3.000522358
56.16,6.346577778,1,0.022076871
56.16,6.346577778,3,0.193041822
56.16,6.346577778,5,0.538915086
56.16,6.346577778,7,1.051714601
56.16,6.346577778,9,1.727417084
56.16,6.346577778,12,3.033331694
56.16,11.80325556,1,0.022746048
56.16,11.80325556,3,0.19623814
56.16,11.80325556,5,0.53684593
56.16,11.80325556,7,1.056221671
56.16,11.80325556,9,1.746549046
56.16,11.80325556,12,3.089970628
56.16,17.25993333,1,0.023383176
56.16,17.25993333,3,0.198202868
56.16,17.25993333,5,0.544805369
56.16,17.25993333,7,1.052983553
56.16,17.25993333,9,1.748023503
56.16,17.25993333,12,3.08383378
56.16,22.71661111,1,0.023998906
56.16,22.71661111,3,0.199782927
56.16,22.71661111,5,0.545841245
56.16,22.71661111,7,1.065706997
56.16,22.71661111,9,1.746985756
56.16,22.71661111,12,3.109819369
56.16,28.17328889,1,0.02459537
56.16,28.17328889,3,0.201961992
56.16,28.17328889,5,0.549824873
56.16,28.17328889,7,1.067193593
56.16,28.17328889,9,1.762492639
56.16,28.17328889,12,3.08781928
56.16,33.62996667,1,0.025150526
56.16,33.62996667,3,0.203999181
56.16,33.62996667,5,0.552710317
56.16,33.62996667,7,1.071493781
56.16,33.62996667,9,1.769263012
56.16,33.62996667,12,3.121305798
56.16,39.08664444,1,0.025684352
56.16,39.08664444,3,0.206009031
56.16,39.08664444,5,0.555934585
56.16,39.08664444,7,1.077251456
56.16,39.08664444,9,1.769580501
56.16,39.08664444,12,3.133629242
56.16,44.54332222,1,0.026188333
56.16,44.54332222,3,0.207976529
56.16,44.54332222,5,0.559275636
56.16,44.54332222,7,1.081528438
56.16,44.54332222,9,1.773150901
56.16,44.54332222,12,3.143988146
56.16,50,1,0.02660622
56.16,50,3,0.209842588
56.16,50,5,0.562811837
56.16,50,7,1.085484915
56.16,50,9,1.780255297
56.16,50,12,3.142853078
62.4,0.8899,1,0.023976204
62.4,0.8899,3,0.211620029
62.4,0.8899,5,0.587563108
62.4,0.8899,7,1.159560782
62.4,0.8899,9,1.900246975
62.4,0.8899,12,3.38291751
62.4,6.346577778,1,0.024450383
62.4,6.346577778,3,0.216263769
62.4,6.346577778,5,0.597254634
62.4,6.346577778,7,1.157932933
62.4,6.346577778,9,1.919146732
62.4,6.346577778,12,3.392540492
62.4,11.80325556,1,0.025110425
62.4,11.80325556,3,0.21804981
62.4,11.80325556,5,0.599220639
62.4,11.80325556,7,1.161215042
62.4,11.80325556,9,1.92308756
62.4,11.80325556,12,3.406335201
62.4,17.25993333,1,0.025762504
62.4,17.25993333,3,0.219364319
62.4,17.25993333,5,0.604410273
62.4,17.25993333,7,1.168212066
62.4,17.25993333,9,1.941611378
62.4,17.25993333,12,3.422047748
62.4,22.71661111,1,0.026377772
62.4,22.71661111,3,0.221273222
62.4,22.71661111,5,0.605444075
62.4,22.71661111,7,1.182277199
62.4,22.71661111,9,1.93619943
62.4,22.71661111,12,3.431191958
62.4,28.17328889,1,0.027009371
62.4,28.17328889,3,0.22307265
62.4,28.17328889,5,0.608241393
62.4,28.17328889,7,1.189482614
62.4,28.17328889,9,1.950976626
62.4,28.17328889,12,3.428270748
62.4,33.62996667,1,0.027573138
62.4,33.62996667,3,0.225280941
62.4,33.62996667,5,0.612664617
62.4,33.62996667,7,1.188929106
62.4,33.62996667,9,1.961816622
62.4,33.62996667,12,3.464639607
62.4,39.08664444,1,0.028114558
62.4,39.08664444,3,0.227321857
62.4,39.08664444,5,0.615042254
62.4,39.08664444,7,1.191949218
62.4,39.08664444,9,1.962379079
62.4,39.08664444,12,3.472293407
62.4,44.54332222,1,0.028647104
62.4,44.54332222,3,0.229307225
62.4,44.54332222,5,0.618351499
62.4,44.54332222,7,1.198201893
62.4,44.54332222,9,1.966076388
62.4,44.54332222,12,3.483454516
62.4,50,1,0.029145058
62.4,50,3,0.231270386
62.4,50,5,0.621713756
62.4,50,7,1.201999771
62.4,50,9,1.97053094
62.4,50,12,3.495768677
68.64,0.8899,1,0.026203744
68.64,0.8899,3,0.232686479
68.64,0.8899,5,0.645931055
68.64,0.8899,7,1.277417007
68.64,0.8899,9,2.075639108
68.64,0.8899,12,3.714062035
68.64,6.346577778,1,0.026805524
68.64,6.346577778,3,0.236215544
68.64,6.346577778,5,0.652161902
68.64,6.346577778,7,1.267911521
68.64,6.346577778,9,2.113157683
68.64,6.346577778,12,3.746628578
68.64,11.80325556,1,0.027470107
68.64,11.80325556,3,0.239582065
68.64,11.80325556,5,0.652458809
68.64,11.80325556,7,1.290653726
68.64,11.80325556,9,2.128025963
68.64,11.80325556,12,3.775406293
68.64,17.25993333,1,0.028143749
68.64,17.25993333,3,0.240477036
68.64,17.25993333,5,0.663186705
68.64,17.25993333,7,1.297845638
68.64,17.25993333,9,2.115572131
68.64,17.25993333,12,3.750488474
68.64,22.71661111,1,0.028761173
68.64,22.71661111,3,0.242796571
68.64,22.71661111,5,0.664389722
68.64,22.71661111,7,1.290188038
68.64,22.71661111,9,2.120591171
68.64,22.71661111,12,3.787062271
68.64,28.17328889,1,0.029432701
68.64,28.17328889,3,0.244316714
68.64,28.17328889,5,0.667577803
68.64,28.17328889,7,1.30204372
68.64,28.17328889,9,2.144964806
68.64,28.17328889,12,3.763661115
68.64,33.62996667,1,0.029977954
68.64,33.62996667,3,0.246521611
68.64,33.62996667,5,0.671288527
68.64,33.62996667,7,1.30633538
68.64,33.62996667,9,2.147616246
68.64,33.62996667,12,3.775412529
68.64,39.08664444,1,0.030543657
68.64,39.08664444,3,0.248569649
68.64,39.08664444,5,0.67449758
68.64,39.08664444,7,1.308372003
68.64,39.08664444,9,2.158754294
68.64,39.08664444,12,3.814373797
68.64,44.54332222,1,0.031091476
68.64,44.54332222,3,0.250616077
68.64,44.54332222,5,0.677475935
68.64,44.54332222,7,1.312905732
68.64,44.54332222,9,2.154001689
68.64,44.54332222,12,3.828975063
68.64,50,1,0.031611763
68.64,50,3,0.252632424
68.64,50,5,0.680791881
68.64,50,7,1.31909124
68.64,50,9,2.163688197
68.64,50,12,3.835838551
74.88,0.8899,1,0.028344253
74.88,0.8899,3,0.254849852
74.88,0.8899,5,0.705088371
74.88,0.8899,7,1.392966954
74.88,0.8899,9,2.295465663
74.88,0.8899,12,4.082103792
74.88,6.346577778,1,0.029131188
74.88,6.346577778,3,0.258115963
74.88,6.346577778,5,0.711719117
74.88,6.346577778,7,1.393922218
74.88,6.346577778,9,2.300415665
74.88,6.346577778,12,4.033004368
74.88,11.80325556,1,0.029819224
74.88,11.80325556,3,0.260565046
74.88,11.80325556,5,0.713560244
74.88,11.80325556,7,1.410898133
74.88,11.80325556,9,2.301343038
74.88,11.80325556,12,4.094034763
74.88,17.25993333,1,0.030507086
74.88,17.25993333,3,0.262100969
74.88,17.25993333,5,0.720674285
74.88,17.25993333,7,1.404609314
